,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Playing Time,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sam Coffey,us USA,MF,26-298,24,24,"2,131",23.7,2,4,6,0,2,3,3,0,3.1,0.9,1.9,2.8,28,126,41,0.08,0.17,0.25,0,0.17,0.13,0.08,0.21,0.04,0.12,Matches
Reyna Reyes,mx MEX,DF,24-251,25,24,"2,112",23.5,3,1,4,3,0,0,4,0,1.6,1.5,1,2.5,28,89,59,0.13,0.04,0.17,0.13,0.17,0.07,0.04,0.11,0.06,0.11,Matches
Olivia Moultrie,us USA,"MF,FW",20-038,25,23,"2,071",23,8,1,9,7,1,2,1,0,5.5,4,5,9,66,114,85,0.35,0.04,0.39,0.3,0.35,0.24,0.22,0.45,0.17,0.39,Matches
Reilyn Turner,us USA,"FW,MF",23-008,24,21,"1,728",19.2,5,1,6,5,0,0,2,0,8.6,8.6,2.2,10.7,22,21,119,0.26,0.05,0.31,0.26,0.31,0.45,0.11,0.56,0.45,0.56,Matches
Isabella Obaze,dk DEN,DF,22-360,20,20,"1,589",17.7,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,7,41,8,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03,Matches
Samantha Hiatt,us USA,DF,27-292,20,19,"1,778",19.8,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,2,53,1,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
Mackenzie Arnold,au AUS,GK,31-242,18,18,"1,620",18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Jessie Fleming,ca CAN,MF,27-228,24,18,"1,612",17.9,1,4,5,0,1,1,1,0,1.8,1.1,2.9,4,11,46,46,0.06,0.22,0.28,0,0.22,0.1,0.16,0.27,0.06,0.22,Matches
Hina Sugita,jp JPN,MF,28-267,22,18,"1,543",17.1,0,3,3,0,0,0,2,0,3.2,3.2,3.5,6.7,15,82,64,0,0.17,0.17,0,0.17,0.19,0.2,0.39,0.19,0.39,Matches
Jayden Perry,us USA,DF,24-247,17,14,"1,300",14.4,3,1,4,0,3,3,2,0,2.6,0.4,0.1,0.4,5,38,4,0.21,0.07,0.28,0,0.07,0.18,0,0.18,0.03,0.03,Matches
Deyna Castellanos,ve VEN,"FW,MF",26-190,20,12,"1,102",12.2,1,0,1,1,0,0,2,0,2.2,2.2,1.4,3.6,13,33,48,0.08,0,0.08,0.08,0.08,0.18,0.11,0.29,0.18,0.29,Matches
Kaitlyn Torpey,au AUS,DF,25-222,17,12,976,10.8,0,0,0,0,0,0,3,0,0,0,0.7,0.7,9,33,22,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
Pietra Tordin,us USA,FW,21-209,24,9,903,10,4,0,4,4,0,0,3,0,4.7,4.7,1.2,6,6,15,60,0.4,0,0.4,0.4,0.4,0.47,0.12,0.59,0.47,0.59,Matches
Mallie McKenzie,us USA,DF,24-346,22,8,893,9.9,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,8,16,20,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,Matches
Caiya Hanks,us USA,"FW,MF",21-029,11,7,636,7.1,2,1,3,2,0,0,1,0,2,2,1.1,3,29,16,62,0.28,0.14,0.42,0.28,0.42,0.28,0.15,0.43,0.28,0.43,Matches
Bella Bixby,us USA,GK,29-339,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marie-Yasmine Alidou,ca CAN,"MF,FW",30-180,19,6,696,7.7,1,1,2,1,0,0,1,0,1.1,1.1,0.5,1.6,15,20,35,0.13,0.13,0.26,0.13,0.26,0.14,0.07,0.21,0.14,0.21,Matches
Payton Linnehan,us USA,"FW,MF",24-214,13,4,432,4.8,1,0,1,1,0,0,0,0,1.5,1.5,0.4,2,16,8,56,0.21,0,0.21,0.21,0.21,0.31,0.09,0.41,0.31,0.41,Matches
Alexa Spaanstra,us USA,"FW,MF",25-266,15,4,421,4.7,0,1,1,0,0,0,0,0,0.5,0.5,0.4,0.9,11,13,29,0,0.21,0.21,0,0.21,0.1,0.09,0.2,0.1,0.2,Matches
Mary Vignola,us USA,DF,27-256,3,3,232,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,7,6,5,0,0,0,0,0,0.08,0.01,0.09,0.08,0.09,Matches
Julie Dufour,fr FRA,"FW,DF",24-149,5,3,158,1.8,2,0,2,2,0,0,1,0,0.3,0.3,0.3,0.6,2,3,3,1.14,0,1.14,1.14,1.14,0.15,0.17,0.32,0.15,0.32,Matches
Daiane,br BRA,"DF,FW",28-048,6,1,66,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,2,0,0,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches
Laila Harbert,eng ENG,"MF,FW",18-295,3,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sophie Hirst,us USA,"MF,FW",25-242,3,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Matches
Valerin Loboa,co COL,FW,18-114,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Carissa Boeckmann,us USA,MF,22-155,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Moira Kelley,,DF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Morgan Messner,us USA,GK,25-250,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
